Case,Implementation,Threads,Average,StdDev
Case1,./serial,0,6308.10129870129870129870,275.44285860716008529678
Case1,./parallel_rwlock,1,6087.18403636363636363636,209.21504851130383233155
Case1,./parallel_rwlock,2,3838.62062857142857142857,50.72632559124784187216
Case1,./parallel_rwlock,4,3750.92131428571428571428,124.78031736531602561076
Case1,./parallel_rwlock,8,3943.72465194805194805194,147.49142255191981515489
Case1,./parallel_mutex,1,6142.75897662337662337662,177.70204233687007518154
Case1,./parallel_mutex,2,9124.84484675324675324675,196.14812703527864286033
Case1,./parallel_mutex,4,10774.98356883116883116883,358.66658096893976717203
Case1,./parallel_mutex,8,11546.28828831168831168831,167.98882585367190349469
Case2,./serial,0,7947.56363636363636363636,357.69027093875844506639
Case2,./parallel_rwlock,1,7708.09414025974025974025,190.52770841631119816103
Case2,./parallel_rwlock,2,8891.28791688311688311688,113.91550617066174276550
Case2,./parallel_rwlock,4,10640.19745454545454545454,515.56416497526708230213
Case2,./parallel_rwlock,8,12873.59322597402597402597,248.36916799980417173413
Case2,./parallel_mutex,1,7599.34510909090909090909,260.38985356583106151539
Case2,./parallel_mutex,2,12074.92662337662337662337,247.82930946366168174928
Case2,./parallel_mutex,4,14158.70264155844155844155,832.06269765117043135567
Case2,./parallel_mutex,8,18167.59084415584415584415,592.13864234607219871678
Case3,./serial,0,26092.71948051948051948051,574.58578310428354224689
Case3,./parallel_rwlock,1,28698.03444415584415584415,578.08147987455527693799
Case3,./parallel_rwlock,2,42441.59933766233766233766,1342.91135906413400075548
Case3,./parallel_rwlock,4,46853.15929870129870129870,1720.39277289336019112826
Case3,./parallel_rwlock,8,54048.58263636363636363636,1027.81276607080154319861
Case3,./parallel_mutex,1,28603.81555064935064935064,831.08214152802331207366
Case3,./parallel_mutex,2,37012.33228831168831168831,1178.82705733551734480167
Case3,./parallel_mutex,4,41051.53785714285714285714,1635.63243810724603086088
Case3,./parallel_mutex,8,48392.77409870129870129870,1272.48567611199811991889
